Tempo de execucao, Iteracoes, Tamanho da entrada, Tamanho K, Tamanho Mochila, Melhor fit
8, 301, 1320, 1, 1000, 0
8, 290, 1320, 2, 1000, 0
8, 284, 1320, 3, 1000, 0
8, 274, 1320, 4, 1000, 0
10, 293, 1320, 5, 1000, 0
11, 281, 1320, 6, 1000, 0
17, 283, 1320, 7, 1000, 0
17, 276, 1320, 8, 1000, 0
19, 291, 1320, 9, 1000, 0
19, 283, 1320, 10, 1000, 0
20, 287, 1320, 11, 1000, 0
20, 262, 1320, 12, 1000, 0
26, 272, 1320, 13, 1000, 0
26, 272, 1320, 14, 1000, 0
29, 295, 1320, 15, 1000, 0
27, 264, 1320, 16, 1000, 0
29, 278, 1320, 17, 1000, 0
32, 285, 1320, 18, 1000, 0
35, 267, 1320, 19, 1000, 0
35, 265, 1320, 20, 1000, 0
37, 273, 1320, 21, 1000, 0
38, 275, 1320, 22, 1000, 0
36, 256, 1320, 23, 1000, 0
41, 280, 1320, 24, 1000, 0
47, 285, 1320, 25, 1000, 0
46, 272, 1320, 26, 1000, 0
47, 278, 1320, 27, 1000, 0
48, 276, 1320, 28, 1000, 0
49, 278, 1320, 29, 1000, 0
49, 272, 1320, 30, 1000, 0
56, 286, 1320, 31, 1000, 0
57, 285, 1320, 32, 1000, 0
54, 269, 1320, 33, 1000, 0
59, 280, 1320, 34, 1000, 0
52, 254, 1320, 35, 1000, 0
59, 282, 1320, 36, 1000, 0
63, 277, 1320, 37, 1000, 0
62, 273, 1320, 38, 1000, 0
64, 280, 1320, 39, 1000, 0
67, 282, 1320, 40, 1000, 0
70, 281, 1320, 41, 1000, 0
70, 277, 1320, 42, 1000, 0
69, 270, 1320, 43, 1000, 0
68, 261, 1320, 44, 1000, 0
70, 268, 1320, 45, 1000, 0
72, 271, 1320, 46, 1000, 0
73, 263, 1320, 47, 1000, 0
77, 270, 1320, 48, 1000, 0
76, 262, 1320, 49, 1000, 0
80, 275, 1320, 50, 1000, 0
82, 279, 1320, 51, 1000, 0
83, 275, 1320, 52, 1000, 0
84, 269, 1320, 53, 1000, 0
85, 270, 1320, 54, 1000, 0
85, 262, 1320, 55, 1000, 0
89, 267, 1320, 56, 1000, 0
92, 271, 1320, 57, 1000, 0
102, 274, 1320, 58, 1000, 0
108, 275, 1320, 59, 1000, 0
96, 264, 1320, 60, 1000, 0
93, 257, 1320, 61, 1000, 0
96, 269, 1320, 62, 1000, 0
102, 272, 1320, 63, 1000, 0
103, 274, 1320, 64, 1000, 0
103, 271, 1320, 65, 1000, 0
102, 266, 1320, 66, 1000, 0
107, 277, 1320, 67, 1000, 0
