Tempo de execucao, Iteracoes, Tamanho da entrada, Tamanho Populacao original, Tamanho Populacao no fim, Melhor fit, Tamanho da mochila, Quantidade de sorteados para crossover, Quantidade de crossovers, Quantidade de mutacoes
79, 5108099, 1320, 1, 2, 0, 1000, 100, 75856972, 379642
43, 2763152, 1320, 2, 4, 0, 1000, 100, 41096629, 205391
42, 2675368, 1320, 3, 6, 0, 1000, 100, 39808434, 199455
40, 2564384, 1320, 4, 8, 0, 1000, 100, 38021747, 190260
35, 2175888, 1320, 5, 10, 0, 1000, 100, 32274519, 161513
41, 2546629, 1320, 6, 12, 0, 1000, 100, 37827555, 188738
39, 2449038, 1320, 7, 14, 0, 1000, 100, 36371644, 182125
27, 1688683, 1320, 8, 16, 0, 1000, 100, 25153758, 126089
36, 2221330, 1320, 9, 18, 0, 1000, 100, 33062372, 165245
30, 1846672, 1320, 10, 20, 0, 1000, 100, 27453265, 136749
42, 2568524, 1320, 11, 22, 0, 1000, 100, 38188413, 191070
45, 2645267, 1320, 12, 24, 0, 1000, 100, 39227662, 196089
36, 2127038, 1320, 13, 26, 0, 1000, 100, 31571425, 157875
42, 2482515, 1320, 14, 28, 0, 1000, 100, 36908611, 184563
35, 2044979, 1320, 15, 30, 0, 1000, 100, 30379624, 152176
24, 1426141, 1320, 16, 32, 0, 1000, 100, 21116536, 105966
28, 1651565, 1320, 17, 34, 0, 1000, 100, 24513882, 122417
41, 2347452, 1320, 18, 36, 0, 1000, 100, 34856418, 174139
40, 2324259, 1320, 19, 38, 0, 1000, 100, 34506075, 173342
35, 1996189, 1320, 20, 40, 0, 1000, 100, 29655180, 148419
34, 1946113, 1320, 21, 42, 0, 1000, 100, 28868112, 144688
26, 1510489, 1320, 22, 44, 0, 1000, 100, 22444131, 111912
35, 1997531, 1320, 23, 46, 0, 1000, 100, 29657981, 148275
40, 2262327, 1320, 24, 48, 0, 1000, 100, 33512935, 167375
40, 2260973, 1320, 25, 50, 0, 1000, 100, 33591582, 168458
33, 1874848, 1320, 26, 52, 0, 1000, 100, 27833268, 139262
46, 2588747, 1320, 27, 54, 0, 1000, 100, 38495184, 192042
28, 1576301, 1320, 28, 56, 0, 1000, 100, 23392468, 116832
34, 1872126, 1320, 29, 58, 0, 1000, 100, 27790760, 139266
32, 1731487, 1320, 30, 60, 0, 1000, 100, 25718136, 127620
46, 2521250, 1320, 31, 62, 0, 1000, 100, 37465157, 187207
35, 1933889, 1320, 32, 64, 0, 1000, 100, 28736111, 144282
24, 1307034, 1320, 33, 66, 0, 1000, 100, 19442133, 96682
48, 2647064, 1320, 34, 68, 0, 1000, 100, 39364886, 196704
33, 1808808, 1320, 35, 70, 0, 1000, 100, 26798400, 134067
37, 1965563, 1320, 36, 72, 0, 1000, 100, 29139585, 145765
41, 2233004, 1320, 37, 74, 0, 1000, 100, 33127914, 165819
27, 1445968, 1320, 38, 76, 0, 1000, 100, 21523998, 107454
37, 1952287, 1320, 39, 78, 0, 1000, 100, 28973787, 144693
30, 1596508, 1320, 40, 80, 0, 1000, 100, 23739980, 118414
31, 1644558, 1320, 41, 82, 0, 1000, 100, 24395980, 121588
36, 1917104, 1320, 42, 84, 0, 1000, 100, 28427887, 142397
47, 2478394, 1320, 43, 86, 0, 1000, 100, 36770182, 184025
31, 1664757, 1320, 44, 88, 0, 1000, 100, 24757525, 123471
44, 2308221, 1320, 45, 90, 0, 1000, 100, 34293833, 171676
24, 1246373, 1320, 46, 92, 0, 1000, 100, 18497891, 92439
36, 1874051, 1320, 47, 94, 0, 1000, 100, 27822732, 139569
37, 1913846, 1320, 48, 96, 0, 1000, 100, 28323187, 141745
39, 2019406, 1320, 49, 98, 0, 1000, 100, 30015291, 149961
39, 2068982, 1320, 50, 100, 0, 1000, 100, 30721177, 153273
29, 1499456, 1320, 51, 102, 0, 1000, 100, 22239092, 111420
29, 1474589, 1320, 52, 104, 0, 1000, 100, 21894693, 109316
36, 1837530, 1320, 53, 106, 0, 1000, 100, 27303644, 136560
30, 1584339, 1320, 54, 108, 0, 1000, 100, 23550642, 117642
32, 1586127, 1320, 55, 110, 0, 1000, 100, 23622430, 117219
38, 1920185, 1320, 56, 112, 0, 1000, 100, 28448384, 141745
33, 1660940, 1320, 57, 114, 0, 1000, 100, 24673146, 123429
37, 1888937, 1320, 58, 116, 0, 1000, 100, 28059398, 140450
40, 2003727, 1320, 59, 118, 0, 1000, 100, 29747940, 148130
33, 1635967, 1320, 60, 120, 0, 1000, 100, 24257667, 120499
39, 1938367, 1320, 61, 122, 0, 1000, 100, 28748432, 143378
37, 1846467, 1320, 62, 124, 0, 1000, 100, 27481634, 137740
42, 2055246, 1320, 63, 126, 0, 1000, 100, 30575625, 152495
